Plant Name,Scientific Name,Advantages,General Locations of Cultivation,For More Information
Amaranthus Green,Amaranthus hybridus,"Nutrient-rich, used in salads and cooking.","Asia, Africa, Americas",https://pfaf.org/User/plant.aspx?LatinName=Amaranthus+hybridus
Amaranthus Red,Amaranthus cruentus,"Nutrient-rich, used in salads and as a grain.","South America, Africa, Asia",https://pfaf.org/User/plant.aspx?LatinName=Amaranthus+cruentus
Balloon vine,Cardiospermum halicacabum,"Medicinal properties, traditional medicine.",Tropical and subtropical regions,https://pfaf.org/user/Plant.aspx?LatinName=Cardiospermum+halicacabum
Betel Leaves,Piper betle,Used in traditional medicine and as mouth freshener.,South and Southeast Asia,https://pfaf.org/user/Plant.aspx?LatinName=Piper+betle
Black Night Shade,Solanum nigrum,"Medicinal uses, rich in antioxidants.",Temperate and tropical regions,https://pfaf.org/user/plant.aspx?LatinName=Solanum+nigrum
Celery,Apium graveolens,"Low in calories, used in salads and cooking.",Temperate regions,https://en.wikipedia.org/wiki/Celery
Chinese Spinach,Amaranthus tricolor,Nutrient-dense leafy green used in various dishes.,Asia and other regions,https://en.wikipedia.org/wiki/Amaranthus_tricolor
Coriander Leaves,Coriandrum sativum,Culinary herb with a fresh flavor.,Many regions worldwide,https://en.wikipedia.org/wiki/Coriander
Curry Leaf,Murraya koenigii,Aromatic leaves used in Indian cooking.,"India, tropical regions",https://en.wikipedia.org/wiki/Curry_tree
Dwarf Copperleaf (Green),Acalypha reptans,Ornamental plant with colorful leaves.,Tropical and subtropical regions,https://en.wikipedia.org/wiki/Acalypha_chamaedrifolia
Dwarf copperleaf (Red),Acalypha wilkesiana,Ornamental plant with colorful leaves.,Tropical and subtropical regions,https://en.wikipedia.org/wiki/Acalypha_wilkesiana
False Amarnath,Iresine herbstii,Used as an ornamental plant for colorful foliage.,Various regions,https://en.wikipedia.org/wiki/Iresine_herbstii
Fenugreek Leaves,Trigonella foenum-graecum,"Culinary herb, used in Indian and Middle Eastern dishes.","Mediterranean, South Asia, Middle East",https://en.wikipedia.org/wiki/Fenugreek
Giant Pigweed,Amaranthus giganteus,Nutrient-rich leafy green.,Tropical and subtropical regions,https://g.co/bard/share/866bf56fc52b
Gongura,Hibiscus sabdariffa,"Used in Indian cuisine, especially in Andhra Pradesh.",South India,https://en.wikipedia.org/wiki/Gongura
Indian pennywort,Centella asiatica,"Medicinal herb, used in traditional medicine.","Wet, tropical regions",https://en.wikipedia.org/wiki/Centella_asiatica
Lagos Spinach,Talinum fruticosum,"Nutrient-dense leafy green, used in various dishes.",Tropical regions worldwide,https://en.wikipedia.org/wiki/Talinum_fruticosum
Lambs Quarters,Chenopodium album,"Edible wild plant, rich in nutrients.",Temperate and subtropical regions,https://en.wikipedia.org/wiki/Chenopodium_album
Lettuce Tree,Broussonetia papyrifera,Leaves used in some culinary dishes.,"East Asia, some other regions",https://en.wikipedia.org/wiki/Paper_mulberry
Malabar Spinach (Green),Basella alba,"Nutrient-rich leafy green, used in cooking.",Tropical and subtropical regions,https://en.wikipedia.org/wiki/Basella_alba
Mint Leaves,Mentha spp.,Aromatic herb used in culinary and medicinal applications.,Temperate and tropical regions,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9522532/#:~:text=Introduction-,Mints%20(Mentha%20spp.),natural%20pollination%20and%20cross%20breeding."
Mustard,Brassica juncea,Seeds and greens are used in cooking.,"Many regions, including India, Europe, North America",https://en.wikipedia.org/wiki/Brassica_juncea
Palak,Spinacia oleracea,"Nutrient-rich leafy green, commonly used in Indian cuisine.","Various regions, including India and Europe",https://en.wikipedia.org/wiki/Spinach
Siru Keerai,"Variable, depends on specific type",Benefits vary for different types.,"Variable, primarily in India",https://seedsofindia.com/item/Amaranthus-Siru-keerai--334
Water Spinach,Ipomoea aquatica,"Edible aquatic plant, popular in Asian cuisine.",Tropical and subtropical regions,https://en.wikipedia.org/wiki/Ipomoea_aquatica
Water Spinach,Euphorbia hirta,Used in traditional medicine for respiratory conditions.,Tropical and subtropical regions,https://en.wikipedia.org/wiki/Euphorbia_hirta
Avaram,Senna auriculata,Medicinal plant used in traditional remedies.,Various parts of India,https://en.wikipedia.org/wiki/Senna_auriculata
